,day,time,user,message
96,2022-03-02,01:54:53,dead_teeth,peepoPopcorn
97,2022-03-02,01:54:53,루이스와이푸 haruiswaifu,yyjHey
98,2022-03-02,01:54:53,loqutus8,yyjWiggle
99,2022-03-02,01:54:54,siriusgoofball,yyjHey
100,2022-03-02,01:54:54,pelmi,yyjHey yo
101,2022-03-02,01:54:54,puuhaman,yyjHey yyjHey yyjHey
102,2022-03-02,01:54:55,xamusxo,yyjHey yyjHey yyjHey yyjL yyjL
103,2022-03-02,01:54:55,khomkor,hankyungHi hankyungHi hankyungHi
104,2022-03-02,01:54:56,twitchbot_24,ceweinHype ceweinHype
105,2022-03-02,01:54:56,vincentvanglock_,PrideCute PrideCute PrideCute PrideCute
106,2022-03-02,01:54:56,realjeffbozos,kreyLFG kreyLFG kreyLFG kreyLFG
107,2022-03-02,01:54:56,y_exp,peepoPopcorn
108,2022-03-02,01:54:56,utubesux1,yyjHey
109,2022-03-02,01:54:57,allexxx1996,yyjHey 󠀀
110,2022-03-02,01:54:57,chriseherrera,yyjHey yyjHey yyjHey yyjHey yyjHey
111,2022-03-02,01:54:57,arkem232,Elephants PauseChamp
112,2022-03-02,01:54:57,wf_twitch,EZ
113,2022-03-02,01:54:58,ashbash159,suitcases again?
114,2022-03-02,01:54:58,dcbiscuits,yyjHey
115,2022-03-02,01:54:58,peepopopcorn,peepoPopcorn
116,2022-03-02,01:54:58,sinclair_bear,soofloCoffee
117,2022-03-02,01:54:58,peaceful85,What so early
118,2022-03-02,01:55:00,manh256,Hi
119,2022-03-02,01:55:00,existenceofenigmas,how's your stomach feeling
120,2022-03-02,01:55:01,realjeffbozos,kreyLegs kreyLegs kreyLegs kreyLegs kreyLegs
121,2022-03-02,01:55:01,cuttie_pie91,why the luggage
122,2022-03-02,01:55:02,brookjoemckeough,sogYeah yyjHey sogYeah yyjHey sogYeah yyjHey
123,2022-03-02,01:55:02,twitchbot_24,ac69Scream ac69Scream ac69Scream PopCorn
124,2022-03-02,01:55:02,jondoni,PogU
125,2022-03-02,01:55:03,reowmeow,Still in thailand??
126,2022-03-02,01:55:03,garruku,"@FocusMiss, et1231KISS hi"
127,2022-03-02,01:55:03,ronzert,POGGERS
128,2022-03-02,01:55:04,viperrslash,PogU
129,2022-03-02,01:55:04,dead_teeth,HYPERS
130,2022-03-02,01:55:04,nfbsabc,yyjChef Hi
131,2022-03-02,01:55:05,peepopopcorn,peepoPopcorn 󠀀
132,2022-03-02,01:55:05,crustybooger1,hey jimbo yyjL yyjL yyjL yyjHey yyjHey yyjHey yyjHey
133,2022-03-02,01:55:05,vincentt23,phallanxtty yo yyjHey rising78Hey
134,2022-03-02,01:55:05,eonbask,PogU
135,2022-03-02,01:55:06,allexxx1996,yyjHey
136,2022-03-02,01:55:06,skysage,HYPERS
137,2022-03-02,01:55:06,happyfluffyteddy,hey
138,2022-03-02,01:55:07,existenceofenigmas,yyjHBD
139,2022-03-02,01:55:07,pardox00,hi
140,2022-03-02,01:55:07,twitchbot_24,ac69Raging ac69Raging ac69Raging
141,2022-03-02,01:55:07,luizownxd,POGGERS
142,2022-03-02,01:55:07,utubesux1,hello
143,2022-03-02,01:55:07,manh256,Hi hi guys hello
144,2022-03-02,01:55:08,kaitypure,yyjHey  yo
145,2022-03-02,01:55:08,arkem232,yyjHype
146,2022-03-02,01:55:08,y_exp,peepoPopcorn  󠀀
147,2022-03-02,01:55:08,deathgasm94,HYPERS
148,2022-03-02,01:55:08,jondoni,did u guys just arrive
