,day,time,user,message
0,2022-03-03,21:04:00,tom_riddle1995,garytheBuddy
1,2022-03-03,21:04:00,juche4life,chubbe1Bois
2,2022-03-03,21:04:01,dixgo,dixgoD
3,2022-03-03,21:04:02,desu_is_sparta,PogU
4,2022-03-03,21:04:02,y_exp,chubbe1Bois 󠀀
5,2022-03-03,21:04:03,dead_teeth,yyjHey hello
6,2022-03-03,21:04:03,pilski6,yyjHey
7,2022-03-03,21:04:04,skysage,yyjHey 💋 yyjL
8,2022-03-03,21:04:04,peepopopcorn,chubbe1Bois 󠀀
9,2022-03-03,21:04:04,kaitypure,PogU
10,2022-03-03,21:04:05,jondoni,yyjHey hello
11,2022-03-03,21:04:05,ta_kevvo,yyjWiggle
12,2022-03-03,21:04:05,homer_simpson_00,yyjHey
13,2022-03-03,21:04:05,roberthidalgoshy,yyjHey yyjHey yyjHey yyjHey good evening jinny my queen 👸 yyjL yyjL yyjL yyjL yyjL hope you doing wel yyjL yyjL
14,2022-03-03,21:04:05,lightsir_,yyjHey
15,2022-03-03,21:04:05,desu_is_sparta,PrideWave
16,2022-03-03,21:04:05,ellesimwunderland,PogU
17,2022-03-03,21:04:05,juche4life,PogU
18,2022-03-03,21:04:06,utubesux1,yyjHey hi Morning!!!
19,2022-03-03,21:04:06,marey__,yyjHey
20,2022-03-03,21:04:06,puuhaman,Hi Hi yyjHey
21,2022-03-03,21:04:06,sinclair_bear,yyjHey  AY JIMBO
22,2022-03-03,21:04:06,dixgo,dixgoD 󠀀
23,2022-03-03,21:04:06,arkem232,yyjHey yyjHey yyjHey yyjHey
24,2022-03-03,21:04:06,zay_ih,yyjHey
25,2022-03-03,21:04:06,y_exp,yyjHey
26,2022-03-03,21:04:06,dead_teeth,yyjHey hi hi
27,2022-03-03,21:04:07,루미발가락패디큐어 bob9321923,yyjHey
28,2022-03-03,21:04:07,shawayeem,yyjHey
29,2022-03-03,21:04:07,루이스와이푸 haruiswaifu,yyjHey
30,2022-03-03,21:04:07,tomateitor5621,Yo @sinclair_bear hello catJAM
31,2022-03-03,21:04:07,milathegal,yyjHey
32,2022-03-03,21:04:07,fatandjack3d,yyjHey yyjHey yyjHey yyjHey
33,2022-03-03,21:04:07,darkexile1,yyjHey yyjHey Sup
34,2022-03-03,21:04:07,merbs,yyjHey yo
35,2022-03-03,21:04:07,"arma_on3 subscribed at Tier 1. They've subscribed for 4 months, currently on a 2 month streak!",
36,2022-03-03,21:04:08,tom_riddle1995,yyjHey yyjHey yyjHey yyjHey yyjHey
37,2022-03-03,21:04:08,bigdawg19,POGGING
38,2022-03-03,21:04:08,allexxx1996,yyjHey
39,2022-03-03,21:04:08,루미챔프 reigning_champ1,yyjHey
40,2022-03-03,21:04:08,ta_kevvo,yyjHey
41,2022-03-03,21:04:08,rocket_monkey,yyjHey
42,2022-03-03,21:04:08,pajama_jen,yyjHey
43,2022-03-03,21:04:08,weirdpartofnight,mooorning!
44,2022-03-03,21:04:09,mr_wubwub,sup
45,2022-03-03,21:04:09,ellesimwunderland,PagMan
46,2022-03-03,21:04:09,quassidi,yyjHey hola
47,2022-03-03,21:04:09,elegs,Hello yyjCozy
48,2022-03-03,21:04:09,ronzert,yyjHey sup sup
49,2022-03-03,21:04:09,massh0lian,hi
50,2022-03-03,21:04:09,tybstra,yyjHey yo
51,2022-03-03,21:04:09,fatandjack3d,THE QUEEN IS LIVE
52,2022-03-03,21:04:10,moneyhoarder,yyjHey
53,2022-03-03,21:04:10,zulul24,yyjHey yo yyjWiggle
54,2022-03-03,21:04:10,kaitypure,yyjHey hi
55,2022-03-03,21:04:10,alex__lul,yyjHey
56,2022-03-03,21:04:10,루이스와이푸 haruiswaifu,yyjHey 󠀀
57,2022-03-03,21:04:10,jondoni,!time
58,2022-03-03,21:04:10,lightsir_,yyjHey hi
59,2022-03-03,21:04:11,coteyfourtwenty,yyjHey
60,2022-03-03,21:04:11,xxkayfistxx,yyjHey
61,2022-03-03,21:04:11,dixgo,dixgoD
62,2022-03-03,21:04:11,iamjerrylive,yyjHey yyjHey yyjHey
63,2022-03-03,21:04:13,peepopopcorn,yyjHey
64,2022-03-03,21:04:13,icymariii,yyjHey
65,2022-03-03,21:04:13,allexxx1996,yyjHey 󠀀
66,2022-03-03,21:04:13,y_exp,yyjHey 󠀀
67,2022-03-03,21:04:13,narwhaldevil,yyjHey
68,2022-03-03,21:04:13,puuhaman,yyjHey yyjHey yyjHey
69,2022-03-03,21:04:13,dead_teeth,yyjHey how are you
70,2022-03-03,21:04:14,vincentt23,yyjHey jinjin
71,2022-03-03,21:04:14,slyz0r,Yoo
72,2022-03-03,21:04:14,vickadrio,yyjHey
73,2022-03-03,21:04:14,allexxx1996,yyjHey
74,2022-03-03,21:04:14,milathegal,yyjHey jinjin
75,2022-03-03,21:04:15,dixgo,dixgoD 󠀀
76,2022-03-03,21:04:15,karma_on3,HI
77,2022-03-03,21:04:15,darkscarlatti,yyjHey sup
78,2022-03-03,21:04:16,newbie_1337,WOWERS bttvNice
79,2022-03-03,21:04:16,ganji101,Hiii
80,2022-03-03,21:04:16,siriusgoofball,yyjHey
81,2022-03-03,21:04:16,zer0select,yyjHey
