,day,time,user,message
0,2022-03-02,21:14:20,marcos3870,yyj1 yyj1
1,2022-03-02,21:14:20,sesomb,PogU
2,2022-03-02,21:14:21,zay_ih,@nodeathx Kissahomie
3,2022-03-02,21:14:22,juche4life,catJAM
4,2022-03-02,21:14:23,mezerx,what episode nr is this?
5,2022-03-02,21:14:23,bennymiaka,PauseChamp TeaTime
6,2022-03-02,21:14:23,nodeathx,PauseChamp’
7,2022-03-02,21:14:24,towelboy83,yyj1 yyj2
8,2022-03-02,21:14:24,kaitypure,"@reigning_champ1, MinaKiss"
9,2022-03-02,21:14:24,realdevi,pagPause 󠀀
10,2022-03-02,21:14:26,towelboy83,yyj3 yyj4
11,2022-03-02,21:14:27,thadoril,PogU
12,2022-03-02,21:14:27,jeffrey6301,yyjHey
13,2022-03-02,21:14:27,peepopopcorn,Pog
14,2022-03-02,21:14:28,jondoni,yyjHey sup
15,2022-03-02,21:14:28,elegs,Hello yyjCozy
16,2022-03-02,21:14:28,ashbash159,yyjHey yo
17,2022-03-02,21:14:28,nodeathx,PauseChamp TeaTime
18,2022-03-02,21:14:28,sesomb,Catjem
19,2022-03-02,21:14:28,skillmantel,peepoClap
20,2022-03-02,21:14:28,lightsir_,yyjHey
21,2022-03-02,21:14:28,narwhaldevil,yyjHey
22,2022-03-02,21:14:28,existenceofenigmas,hey 👋  goodmorning
23,2022-03-02,21:14:28,skysage,yyjHey 💋 yyjL
24,2022-03-02,21:14:28,thadoril,yyjHey
25,2022-03-02,21:14:29,pilski6,yyjHey
26,2022-03-02,21:14:29,ghoststeel27,Yooooo
27,2022-03-02,21:14:29,arkem232,yyjHey yyjHey yyjHey
28,2022-03-02,21:14:29,fatandjack3d,yyjHey
29,2022-03-02,21:14:29,dead_teeth,yyjHey hello
30,2022-03-02,21:14:29,marcos3870,merced3Troll merced3Troll merced3Troll merced3Troll
31,2022-03-02,21:14:30,zay_ih,yyjHey
32,2022-03-02,21:14:30,utubesux1,hi
33,2022-03-02,21:14:30,darkexile1,yyjHey yyjHey Sup
34,2022-03-02,21:14:32,tybstra,yyjHey yo
35,2022-03-02,21:14:32,ikki_dreamer,yyjHey
36,2022-03-02,21:14:32,루이스와이푸 haruiswaifu,yyjHey
37,2022-03-02,21:14:32,weirdpartofnight,hi
38,2022-03-02,21:14:32,jayeix,hi
39,2022-03-02,21:14:32,quassidi,yyjHey Holi
40,2022-03-02,21:14:32,peepopopcorn,PogU
41,2022-03-02,21:14:32,dead_teeth,yyjHey hi hi
42,2022-03-02,21:14:32,narwhaldevil,yyjHey 󠀀
43,2022-03-02,21:14:32,thadoril,yyjHey hey
44,2022-03-02,21:14:32,puuhaman,Hi Hi yyjHey
45,2022-03-02,21:14:33,keith_2008,PogU
46,2022-03-02,21:14:33,nodeathx,yyjHey
47,2022-03-02,21:14:33,fatandjack3d,yyjHey yyjHey
48,2022-03-02,21:14:33,ganji101,Hiii
49,2022-03-02,21:14:33,bennymiaka,yyjHey
50,2022-03-02,21:14:33,towelboy83,yyj1 yyj2 yyjHey yyjHey yyjHey yyjHey
51,2022-03-02,21:14:34,lightsir_,yyjHey hi
52,2022-03-02,21:14:34,alex__lul,yyjHey
53,2022-03-02,21:14:34,juche4life,VeryPog
54,2022-03-02,21:14:35,루미챔프 reigning_champ1,Kissahomie @dixgo
55,2022-03-02,21:14:35,mr_wubwub,sup
56,2022-03-02,21:14:35,coteyfourtwenty,yyjHey
57,2022-03-02,21:14:35,blackupv2,hiiii jinny yyjHey
58,2022-03-02,21:14:35,realdevi,yuniHey yuniHey yuniHey
59,2022-03-02,21:14:35,jondoni,yyjHey Sup
60,2022-03-02,21:14:35,sizzlaa,yyjHey
61,2022-03-02,21:14:35,towelboy83,yyjHey yyjHey yyjHey
62,2022-03-02,21:14:35,utubesux1,yyjHey
63,2022-03-02,21:14:35,dainty_angela,yyjHey
