,day,time,user,message
0,2022-02-28,21:12:35,darkexile1,PauseChamp TeaTime
1,2022-02-28,21:12:36,kaitypure,pagPause 󠀀
2,2022-02-28,21:12:36,quassidi,yyjPause
3,2022-02-28,21:12:36,rangzzz,PauseChamping
4,2022-02-28,21:12:37,allexxx1996,pagPause  TeaTime
5,2022-02-28,21:12:38,y_exp,pagPause  󠀀
6,2022-02-28,21:12:39,strawhatchase,pagPause
7,2022-02-28,21:12:40,lightsir_,yyjHey hi
8,2022-02-28,21:12:40,wontonshinobi,yyjHey
9,2022-02-28,21:12:40,skysage,yyjHey 💋 yyjL
10,2022-02-28,21:12:40,terrenb,LIVE PagMan LIVE PagMan LIVE PagMan LIVE PagMan LIVE PagMan LIVE PagMan LIVE PagMan LIVE PagMan LIVE PagMan LIVE PagMan LIVE PagMan
11,2022-02-28,21:12:41,신플루미 kojou_yukihira,POGGERS
12,2022-02-28,21:12:41,turbochicken88,BOOBA
13,2022-02-28,21:12:41,dead_teeth,yyjHey hello
14,2022-02-28,21:12:41,kaitypure,PogU
15,2022-02-28,21:12:43,powerbomb5910,unkochanSmile yyjPog xar2EDM unkochanSmile yyjPog xar2EDM unkochanSmile yyjPog xar2EDM unkochanSmile yyjPog xar2EDM unkochanSmile yyjPog xar2EDM
16,2022-02-28,21:12:43,asianlambosir,Yo
17,2022-02-28,21:12:43,wellsrite,pagPause
18,2022-02-28,21:12:43,thadoril,yyjHey yo
19,2022-02-28,21:12:43,finniwi,yyjHey hi
20,2022-02-28,21:12:44,pancho_zamorano,yyjHey
21,2022-02-28,21:12:44,biddikhero,hello
22,2022-02-28,21:12:44,dead_teeth,yyjHey hi hi
23,2022-02-28,21:12:44,y_exp,yyjHey
24,2022-02-28,21:12:44,sporocarp,"fingers like toes, i will give voes"
25,2022-02-28,21:12:45,arkem232,yyjHey yyjHey yyjHey yyjHey
26,2022-02-28,21:12:45,spelly24,yyjHey
27,2022-02-28,21:12:45,existenceofenigmas,hey 👋 goodmorning
28,2022-02-28,21:12:45,darkexile1,yyjHey yyjHey Sup
29,2022-02-28,21:12:45,gultomb,HeyGuys
30,2022-02-28,21:12:46,vickadrio,yyjHey
31,2022-02-28,21:12:46,pelmi,yyjHey yo
32,2022-02-28,21:12:46,darkscarlatti,yyjHey hello Tifa
33,2022-02-28,21:12:48,alex__lul,yyjHey
34,2022-02-28,21:12:48,allexxx1996,yyjHey
35,2022-02-28,21:12:48,elegs,Hello yyjCozy
36,2022-02-28,21:12:48,thedarkhealer,yyjHey JinnyMyQueen
37,2022-02-28,21:12:48,dead_teeth,yyjHey how are you
38,2022-02-28,21:12:48,kaitypure,yyjHey hey
39,2022-02-28,21:12:48,weirdpartofnight,good morning
40,2022-02-28,21:12:48,eonbask,yyjHey
41,2022-02-28,21:12:48,vincentt23,yyjHey
42,2022-02-28,21:12:48,iczza,yyjHey
43,2022-02-28,21:12:48,draxxam,yyjHey
44,2022-02-28,21:12:48,루이스와이푸 haruiswaifu,yyjHey
45,2022-02-28,21:12:48,zay_ih,yyjHey Hello
46,2022-02-28,21:12:48,goldpegaso,yyjHey
47,2022-02-28,21:12:48,mr_wubwub,WideHardo yo
48,2022-02-28,21:12:48,meh2dextreme,yyjHey yyjHey
49,2022-02-28,21:12:48,viperrslash,yyjHey
50,2022-02-28,21:12:48,vincentt23,yyjHey 󠀀
51,2022-02-28,21:12:49,dainty_angela,ratJAM
52,2022-02-28,21:12:49,quassidi,YAAY super_stream_server
